Part,Positives,Negatives,Effects
ClassMod_Part_Skill_BeastMaster_HR7,,,Allies share a portion of FL4K's total Health Regeneration. FL4K's pet shares twice the amount of Health Regeneration.
ClassMod_Part_Skill_BeastMaster_HR8,,,FL4K gains increased Fire Rate. FL4K gains even more Fire Rate after reloading.
ClassMod_Part_Skill_BeastMaster_HR9,,,"When an enemy has no target or is attacking a different target, FL4K deals increased damage against them."
ClassMod_Part_Skill_BeastMaster_Hunt1,,,"Leave No Trace: When FL4K scores a Critical Hit, there is a chance for 1 ammo to be added to their magazine."
ClassMod_Part_Skill_BeastMaster_Hunt2,,,"Second Intention: Hunter Kill Skill. Whenever FL4K kills an enemy, they gain increased Reload Speed."
ClassMod_Part_Skill_BeastMaster_Hunt5,,,"Ambush Predator: While there are no enemies nearby, FL4K's Weapon Handling and Critical Hit Damage are increased."
ClassMod_Part_Skill_BeastMaster_HuntersEye,,,FL4K gains bonuses when fighting different types of enemies.
ClassMod_Part_Skill_BeastMaster_InterStalker,,,"Hunter Kill Skill. Whenever FL4K kills an enemy, they gain a stack of Interplanetary Stalker. For each stack of Interplanetary Stalker, they gain a bonus to all damage dealt."
ClassMod_Part_Skill_BeastMaster_LifeTraining,,,"Whenever FL4K's Pet deals damage, FL4K regenerates health for a few seconds."
ClassMod_Part_Skill_BeastMaster_Symbiosis,,,Increases the power of Pet Bonuses granted to FL4K.
ClassMod_Part_Skill_BeastMaster_TwoFang,,,FL4K has a chance to fire an extra projectile per shot
ClassMod_Part_Operative_Unique_01_Infiltrator,,,"Zane's Weapon Damage and Movement Speed are increased. The lower his shield, the greater the bonus. Whenever Zane activates an action skill he breaks his shield."
ClassMod_Part_Operative_Unique_02_Executor,,,"Kill Skill. Whenever Zane kills an enemy, he gains increased Accuracy, Handling, Critical Hit Damage, Status Effect Damage, and Status Effect Chance."
ClassMod_Part_Operative_Unique_03_Expert,,,Kill Skill. +5% Chance on kill to recharge SNTL Cooldown and Duration.
ClassMod_Part_Operative_Unique_04_Firebrand,,,"Grants Zane's Digit-Clone the Binary System Augment. Whenever Zane's Clone receives melee damage, it creates a Shock Nova around it."
ClassMod_Part_Operative_Unique_05_Operative,,,"Whenever Zane freezes an enemy, a random Status Effect is applied to them instantly."
Part_CM_Operative_Raid1,,,"While Sliding or Airborne, Zane gains +40% Weapon Damage and +20% Damage Reduction. While Slowed, Zane gains +25% Movement Speed"
ClassMod_Part_Skill_Operative_Adrenaline,,,"Zane gains increased Action Skill Cooldown Rate. This bonus is based on the amount of shield he has. The more percent full, the greater the bonus."
ClassMod_Part_Skill_Operative_BorrowedTime,,,Zane gains increased Action Skill Duration for every active Action Skill.
ClassMod_Part_Skill_Operative_Chancer,,,"Zane gains Health Regeneration. The lower his shield is, the higher the bonus."
ClassMod_Part_Skill_Operative_ColdBore,,,Zane gains increased Weapon Swap Speed. The next shot fired after swapping weapons deals Bonus Cryo Damage.
ClassMod_Part_Skill_Operative_CoolerHeads,,,"Whenever Zane scores a Critical Hit on an enemy, theres a chance they will be Slowed. This effect stacks until the target is Frozen."
ClassMod_Part_Skill_Operative_CoolHand,,,"Zane gains increased Reload Speed. Kill Skill. After killing an enemy, Zanes Reload Speed is increased for a few seconds. Duration 15sec"
ClassMod_Part_Skill_Operative_Donnybrook,,,"Kill Skill. Whenever Zane kills an enemy, he and his Digi-Clone receive increased Gun Damage and gain Health Regeneration for a few seconds. Duration, 15sec"
ClassMod_Part_Skill_Operative_DroneDelivery,,,"SNTL will occasionally drop a free grenade based on Zane's current grenade mod while attacking enemies. ""Cooldown 15sec"""
ClassMod_Part_Skill_Operative_DuctTape,,,The first shot fired from Zane's gun has a chance to also fire a grenade. Cooldown Time 8sec
ClassMod_Part_Skill_Operative_ExtraParts,,,Zane gains Increased Maximum Shield Capacity.
ClassMod_Part_Skill_Operative_GoodMisfortune,,,Kill Skill. Killing an enemy increased Zane's Action Skill Duration.
ClassMod_Part_Skill_Operative_LikeAGhost,,,Zane and his Digi-Clone gain a chance to ignore bullets. This chance is increased for a few seconds after activating an Action skill. This effect stacks. Duration 8sec
ClassMod_Part_Skill_Operative_MultiTasker,,,"Whenever one or more of Zane's action skills are active, he gains increased Gun Damage for each active action skill."
ClassMod_Part_Skill_Operative_Ordnance,,,"Kill Skill. Whenever Zane kills an enemy, they create a Cryo Nova, dealing damage to all nearby enemies. Cooldown 2sec"
ClassMod_Part_Skill_Operative_PlayingDirty,,,"Kill Skill. After killing an enemy, Zane's next five shots all have a chance to fire an additional projectile."
ClassMod_Part_Skill_Operative_PocketFullOfGrenades,,,"Kill Skill. After killing an enemy, Zane gains Grenade Regeneration for a few seconds. Duration 15sec"
ClassMod_Part_Skill_Operative_Praemunitus,,,Zane and his Digi-Clone gain increased Magazine Size.
ClassMod_Part_Skill_Operative_ReadyForAction,,,Zane gains improved Shield Recharge Rate and Shield Recharge Delay.
ClassMod_Part_Skill_Operative_ReallyExpensiveJacket,,,Elemental Status Effects applied to Zane have a reduced duration.
ClassMod_Part_Skill_Operative_Refreshment,,,"Whenever Zane damages a frozen enemy with his weapon, he gains some of that damage back as health."
ClassMod_Part_Skill_Operative_SupersonicMan,,,"Whenever one or more of Zane's Action Skills are active, he gains increased Movement Speed for each active Action Skill."
ClassMod_Part_Skill_Operative_Teamwork,,,Zane deals Bonus Shock Damage to enemies that arent targeting him.
ClassMod_Part_Skill_Operative_TheWantVsNeed,,,"Kill Skill. After killing an enemy, Zane's weapons gain Life Steal for a few seconds. Duration 15sec"
ClassMod_Part_Skill_Operative_Violent_Momentum,,,"Zane's Gun Damage is increased while moving. The quicker he moves, the greater the Gun Damage."
ClassMod_Part_Skill_Operative_Violent_Speed,,,"Kill Skill. After killing an enemy, Zane gains increased Movement Speed for a few seconds. Duration 15sec"
ClassMod_Part_Skill_Operative_ViolentViolence,,,"Kill Skill. After killing an enemy, Zane gains increased Fire Rate for a few seconds. Duration 15sec"
ClassMod_Part_Siren_Unique_01_Storm,,,"Whenever Amara first damages an enemy with her Action Skill, she creates a damaging cloud of her Action Skill Element at that Location. Cloud Dmaage: +25/s"
ClassMod_Part_Siren_Unique_02_Dragon,,,"Whenever Amara kills an enemy with a melee attack, her Action Skill Augment is triggered."
ClassMod_Part_Siren_Unique_03_Bruiser,,,"Amara gains Damage Reduction. This bonus is based on the distance to the enemy. The close the enemy, the greater the bonus. Dmaage Reduction: Up to 29%"
ClassMod_Part_Siren_Unique_04_Phasezerker,,,"On Action Skill Used, Amara gains her Max Rush Stack count, but they decay over time. Amara gains 3% Weapon Damage and 10% Action Skill Cooldown Rate based on the number of Rush Stacks. Max Rush Stacks: +5"
ClassMod_Part_Siren_Unique_05_Siren,,,"Whenever Amara Phasegraps an enemy, her Action Skill Element is applied to all nearby enemies."
Part_CM_Siren_Raid1,,,"Whenever Amara activates her action skill, she applies her action skill element to herself. Amara's Gun Damage is increased while moving. The quicker she moves, the greater the Gun Damage bonus."
Part_CM_Siren_DLC1,,,"Whenever an enemy damages Amara, she gains increased Action Skill Cooldown Rate (5%) for a 8 seconds. This effect stacks."
GPart_All_SkillEnd_AccuracyHandling,,,"On Action Skill End, Weapon Accuracy(50%) and Handling(200%) are greatly increased for 12 seconds."
GPart_All_SkillEnd_AddGrenade,,,"On Action Skill Start, Regenerate 1 grenade."
GPart_All_SkillEnd_CooldownRate,,,"On Action Skill End, action skill cooldown rate is increased by 20% for 15 seconds."
GPart_All_SkillEnd_CritDamage,,,"On Action Skill End, Critical Damage is increased by 25% for 15 seconds."
GPart_All_SkillEnd_DamageReduction,,,"On Action Skill End, damage taken is reduced by 15% for 12 seconds."
GPart_All_SkillEnd_EleChanceDamage,,,"On Action Skill End, Weapon Status Effect Damage is increased by 75% and Chance is increased by 40% for 12 seconds."
GPart_All_SkillEnd_FireRateReload,,,"On Action Skill End, fire rate is increased by 11%, and reload speed by 35% for 12 seconds."
GPart_All_SkillEnd_HealthRegen,,,"On Action Skill End, regenerate 1.25% max health per second for 12 seconds."
GPart_All_SkillEnd_LifeSteal,,,"On Action Skill End, gain 15% Life Steal for 12 seconds."
GPart_All_SkillEnd_MeleeDamage,,,"On Action Skill End, Melee Damage is increased by 100% for 12 seconds."
GPart_All_SkillEnd_MoveSpeed,,,"On Action Skill End, movement speed is increased by 5% for 12 seconds."
GPart_All_SkillEnd_NextMagBonusDamageCorrosive,,,"On Action Skill End, the next 2 magazines will have 50% additional bonus corrosive damage."
GPart_All_SkillEnd_NextMagBonusDamageCryo,,,"On Action Skill End, the next 2 magazines will have 50% additional bonus cryo damage."
GPart_All_SkillEnd_NextMagBonusDamageFire,,,"On Action Skill End, the next 2 magazines will have 50% additional bonus fire damage."
GPart_All_SkillEnd_NextMagBonusDamageRadiation,,,"On Action Skill End, the next 2 magazines will have 50% additional bonus radiation damage."
GPart_All_SkillEnd_NextMagBonusDamageShock,,,"On Action Skill End, the next 2 magazines will have 50% additional bonus shock damage."
GPart_All_SkillEnd_ProjectileSpeed,,,"On Action Skill End, Projectile Speed is increased by 100% for 12 seconds."
GPart_All_SkillEnd_UniqueEnemyDamage,,,"On Action Skill End, Deal 125% more Weapon Damage to Badass, Named, and Boss enemies for 15 seconds."
GPart_All_SkillEnd_WeaponDamage,,,"On Action Skill End, Weapon Damage is increased by 100% for 12 seconds."
GPart_All_Passive_GenerateTerror_Melee,,,Melee Attacks have a 25% chance to apply Terror to yourself.
GPart_All_Passive_TerrorAmmoRegen,,,"While Terrified, gain ammo regeneration. The more Terror you have, the higher the bonus. T1: 5%, T2: 10%, T3: 15%"
GPart_All_Passive_TerrorBonus_CryoDamage,,,"While Terrified, deal 50% bonus cryo damage."
GPart_All_Passive_TerrorBulletReflect,,,"While Terrified, enemy bullets have a chance to reflect off of you. The more Terror you have, the higher the bonus. T1: 15%, T2: 30%, T3: 45%"
GPart_All_Passive_TerrorCritDamage,,,"While Terrified, gain increased crit damage. The more Terror you have, the higher the bonus. T1: 50%, T2: 75%, T3: 100%"
GPart_All_Passive_TerrorDamageFireRate,,,"While Terrified, gain increased damage and fire rate. The more Terror you have, the higher the bonus. Damage: T1: 5%, T2: 10%, T3: 15%, Fire Rate: T1: 10%, T2: 20%, T3: 30%"
GPart_All_Passive_TerrorDamageMitigation,,,"While Terrified, reduce all incoming damage by a small amount. The more Terror you have, the higher the bonus. T1: 10%, T2: 20%, T3: 30%"
GPart_All_Passive_TerrorHealthRegen,,,"While Terrified, gain health regeneration. The more Terror you have, the higher the bonus. T1: 4%, T2: 6%, T3: 8%"
GPart_All_Passive_TerrorProjectilesPerShot,,,"While Terrified, you have a chance to fire an extra projectile per shot. The more Terror you have, the higher the bonus. T1: 10%, T2: 20%, T3: 30%"
GPart_All_SkillEnd_GenerateTerror,,,"On Action Skill End, apply Terror to yourself every 5 seconds for the next 18 seconds. Generate Terror Rate: 3 ?"
GPart_All_SkillEnd_TerrorHeal,,,"While Terrified, gain health regeneration. The more Terror you have, the higher the bonus. Base Heal: 25%, Terror Stack Bonus: 15%"
GPart_EG_Generic_ConsecutiveHitsDmgStack,,,"Consecutive Hits increase Weapon Damage by 1% per hit, misses remove all bonuses. (Max: 200 stacks)"
GPart_EG_Generic_KillStackReloadDamage,,,"Killing an enemy grants 5% Weapon Damage and 95% Reload Speed for 25 seconds, this effect stacks."
GPart_EG_Generic_LowHealthExecutor,,,"While enemies are below 25% Health, gain 50% increased Weapon Damage."
GPart_EG_GrenadeThrow_GlobalDamage,,,"On Grenade Thrown, Weapon, Grenade, and Action Skill Damage are increased by 25% for 6 seconds."
GPart_EG_SkillEndBonusEleDamage_Corrosive,,,"On Action Skill End, gain 50% bonus Corrosive Damage with Weapons for 10 seconds."
GPart_EG_SkillEndBonusEleDamage_Cryo,,,"On Action Skill End, gain 50% bonus Cryo Damage with Weapons for 10 seconds."
GPart_EG_SkillEndBonusEleDamage_Fire,,,"On Action Skill End, gain 50% bonus Fire Damage with Weapons for 10 seconds."
GPart_EG_SkillEndBonusEleDamage_Radiation,,,"On Action Skill End, gain 50% bonus Radiation Damage with Weapons for 10 seconds."
GPart_EG_SkillEndBonusEleDamage_Shock,,,"On Action Skill End, gain 50% bonus Shock Damage with Weapons for 10 seconds."
GPart_EG_WhileAirborn_AccuracyHandling,,,"While Airborne, Accuracy is increased by 25% and Handling by 10%."
GPart_EG_WhileAirborn_CritDamage,,,"While Airborne, Critical Damage is increased by 125%."
GPart_EG_WhileAirborn_Damage,,,"While Airborne, Damage is increased by 130%."
GPart_EG_WhileAirborn_FireRate,,,"While Airborne, Fire Rate is increased by 120%."
GPart_EG_WhileSliding_AccuracyHandling,,,"While Sliding, Accuracy is increased by 50% and Handling by 10%."
GPart_EG_WhileSliding_Damage,,,"While Sliding, Damage is increased by 140%."
GPart_EG_WhileSliding_FireRate,,,"While Sliding, Fire Rate is increased by 125%."
GPart_Beast_AttackCmd_Lifesteal,,,"After using Attack Command, gain 30% lifesteal for 8 seconds."
GPart_Beast_AttackCmd_Movespeed,,,"After issuing an Attack Command, gain 8% Movespeed for 6 seconds."
GPart_Beast_ExitStealthNova,,,"When exiting Fade Away, create a nova that deals 175% damage. Nova Radius: 500"
GPart_Beast_RakkCharge,,,Grants an extra charge of Rakk Attack!
GPart_Beast_RakkCrit,,,"After using Rakk Attack!, gain 25% critical hit damage for 8 seconds."
GPart_Beast_RakkSlag,,,Enemies damaged by Rakk Attack! take 50% increased damage for 10 seconds.
GPart_Beast_Stealth_AccuracyHandling,,,"While Fade Away is active, gain greatly increased Accuracy(200%) and Handling(perfect) for 20 seconds."
GPart_BonusRadiationDamage,,,"While Gamma Burst is active, gain 65% bonus radiation damage."
GPart_Beast_AttackCmd_TerrorFireDMG,,,"After using Attack Command, consume all Terror and Fl4K's pet gains 50% bonus fire damage for 15 seconds."
GPart_Gunner_AutoBear_AmmoRegen,,,"While Auto Bear is active, constantly regenerate 7.5% of magazine size per second."
GPart_Gunner_AutoBear_FireDamage,,,"While Auto Bear is active, deals 20% bonus Incendiary damage."
GPart_Gunner_EnterExit_Nova,,,"When entering and exiting Iron Bear, create a nova that deals 175% damage. Radius: 900"
GPart_Gunner_IBGrenadeChance,,,"While Iron Bear is active, taking damage has a 20% chance to spawn a grenade each 8 seconds."
GPart_Gunner_KillsLowerCooldown,,,"After exiting Iron Bear, kills increase Iron Bear's cooldown rate by 30% for 30 seconds. Stack Duration: 10 seconds"
GPart_Gunner_NextMagFireDamage,,,"After exiting Iron Bear, the next 2 magazines will have 40% bonus Incendiary damage."
GPart_Gunner_NextMagFirerateCrit,,,"After exiting Iron Bear, the next 2 magazines will have 10% increased fire rate and 20% critical damage."
GPart_Gunner_NextMagReloadHandling,,,"After exiting Iron Bear, the next 3 magazines will have 50% increased reload speed and 20% increased handling."
GPart_Gunner_NoAmmoConsumption,,,"After exiting Iron Bear, do not consume ammo for 5 seconds."
GPart_Gunner_ShieldHealthMax,,,"After exiting Iron Bear, gain 75% increased shields and health for 25 seconds."
GPart_Gunner_Reload_TerrorNova,,,"After Reloading, consume all Terror and create a nova that deals cryo damage(175%). Radius: 400"
GPart_CloneSwap_WeaponDamage,,,"After swapping places with your Digi-Clone, Weapon Damage is increased by 75% for 6 seconds."
GPart_Operative_BarrierActive_AccuracyCrit,,,"While Barrier is active, Accuracy is increased by 150%, and Critical Hit damage is increased by 30%."
GPart_Operative_BarrierDeploy_ShieldRecharge,,,"When Barrier is Deployed, instantly start recharging your shields. Delay: 0.15 seconds"
GPart_Operative_CloneActive_AmmoRegen,,,"While Digi-Clone is active, regenerate 12% of magazine ammo in mag per second for 30 seconds."
GPart_Operative_CloneActive_HealthRegen,,,"While Digi-Clone is active, regenerate 3% max health per second of 30 seconds."
GPart_Operative_CloneSwapInstaReload,,,"After swapping places with your Digi-Clone, your weapon is reloaded."
GPart_Operative_DroneActiveBonusDamage,,,"While SNTNL is active, gain 50% of damage as bonus Cryo damage."
GPart_Operative_DroneActiveMovespeed,,,"While SNTNL is active, movespeed is increased by 15%."
GPart_Operative_DroneActive_FireRateReload,,,"While SNTNL is active, Fire Rate is increased by 9%, and Reload Speed by 30%."
GPart_Operative_DroneActiveTerrorLifesteal,,,"While SNTNL is active, SNTNL gains 100% lifesteal while you are affected by Terror."
GPart_Siren_Cast_WeaponDamage,,,"After using Phasecast, Weapon Damage is increased by 250% for 12 seconds."
GPart_Siren_Grasp_AccuracyCrit,,,"After Phasegrasping an enemy, Weapon Accuracy(100%) and Handling(400%) are greatly increased for 20 seconds."
GPart_Siren_Grasp_ConstantNova,,,"While Phasegrasp is active, Amara constantly triggers novas that deal 50% damage for 15 seconds. Nova Frequency: 1.2 sec, Nova Radius: 500"
GPart_Siren_SkillEnd_AttunedSkillDamage,,,"On Action Skill End, deal 40% bonus radiation damage for 8 seconds."
GPart_Siren_Slam_DamageReduction,,,"After using Phaseslam, damage taken is reduced by 25% and movespeed is increased by 12% for 10 seconds."
GPart_Siren_Slam_MeleeDamage,,,"After using Phaseslam, Melee Damage is increased by 200% for 10 seconds."
GPart_Siren_Slam_ReturnDamage,,,"On Action Skill End, 30% of all damage taken is returned to the attacker for 12 seconds."
GPart_Siren_Slam_WeaponDamage,,,"After using Phaseslam, Weapon Damage is increased by 300% for 12 seconds."
GPart_Siren_Grasp_TerrorSkulls,,,"After Phasegrasping an enemy, Amara fires Terror skulls at the grasped target dealing 200% damage."
Part_PS_ATL_Barrel_01_A,射速 +10%,,
Part_PS_ATL_Barrel_01_B,射速 +10%,,
Part_PS_ATL_Barrel_01_C,准心范围 -15%,,
Part_PS_ATL_Barrel_02_A,子弹速度 +30%,,
Part_PS_ATL_Barrel_02_B,伤害 +10%,,
Part_PS_ATL_Barrel_02_C,伤害 +10%,,
Part_PS_ATL_Barrel_03_A,准心范围 -15%,,
Part_PS_ATL_Barrel_03_B,准心范围 -15%,,
Part_PS_ATL_Barrel_03_C,装弹时间 -10%,,
Part_PS_ATL_Barrel_连接,"子弹容量 +40, 伤害 +50%",装弹时间 +50%,
Part_PS_ATL_Barrel_泛和平主义者,溅射伤害范围 +130,"伤害 -30%, 准心范围 +300%",
Part_PS_ATL_Body,不可移除,,
Part_PS_ATL_Body_A,射速 +10%,,
Part_PS_ATL_Body_B,准心范围 -15%,,
Part_PS_ATL_Body_C,装弹时间 -10%,,
Part_PS_ATL_Grip_01,"装弹时间 -5%, 准心范围 -20%",,
Part_PS_ATL_Grip_02,伤害 +5%,,
Part_PS_ATL_Grip_03,"武器晃动 -30%, 射速 +5%",,
Part_PS_ATL_Mag_02,18 弹匣,,
Part_PS_ATL_Mag_03,"26 弹匣, 伤害 -10%",,
Part_PS_ATL_Material_01_常见,皮肤,,
Part_PS_ATL_Material_02_普通,皮肤,,
Part_PS_ATL_Material_03_罕见,皮肤,,
Part_PS_ATL_Material_04_非常罕见,皮肤,,
Part_PS_ATL_Material_连接,皮肤,,
Part_PS_ATL_Material_泛和平主义者,皮肤,,
Part_PS_ATL_Radar_01,"武器晃动 -30%, 纵向后坐力 -30%, 准心范围 -10%",,
Part_PS_ATL_Radar_02,"射速 +5%, 子弹容量 +10%",,
Part_PS_ATL_Radar_03,"装弹时间 -5%, 伤害 +5%",,
Part_PS_COV_Body_B,射速 +10%,,
Part_PS_COV_Body_C,每击增加热量 -25%,"伤害 -5%, 准心范围 +10%",
Part_PS_COV_Barrel_群,伤害 +5%,"装弹时间 +10%, 准心范围 +300%",
Part_PS_COV_Barrel_01_A,"准心范围扩散 -30%, 近战伤害 +40%",,
Part_PS_COV_Barrel_01_B,伤害 +10%,,
Part_PS_COV_Barrel_01_C,射速 +10%,,
Part_PS_COV_Barrel_02_A,伤害 +10%,,
Part_PS_COV_Barrel_02_B,每击增加热量 -25%,"伤害 -5%, 准心范围 +10%",
Part_PS_COV_Barrel_02_C,伤害 +10%,,
Part_PS_COV_Barrel_03_A,射速 +10%,,
Part_PS_COV_Barrel_03_B,射速 +10%,,
Part_PS_COV_Barrel_03_C,"每击增加热量 -25%, 充能持续时间 -20%",,
Part_PS_COV_Barrel_极端悬停查德,,"伤害 -30%, 准心范围扩散 +100%, 准心范围 +50%",
Part_PS_COV_Barrel_瘟疫,,"伤害 -10%, 装弹时间 +50%, 准心范围 +20%",
Part_PS_COV_Barrel_ETech,,"每击增加热量 +100%, 子弹速度 -50%",
Part_PS_COV_Barrel_ETech_A,"元素伤害 +10%, 每击增加热量 -25%, 近战伤害 +60%",,
Part_PS_COV_Barrel_甜言蜜语,"准心范围扩散 -50%, 伤害 +40%","准心范围 +20%, 每击增加热量 +100%",
Part_PS_COV_Barrel_狂人刺客,"伤害 +25%, 近战伤害 +100%",,
Part_PS_COV_Accessory_01,暴击伤害 +10%,,
Part_PS_COV_Accessory_02,射速 +5%,,
Part_PS_COV_Accessory_03,"每次射击射弹数 +1, 准心范围扩散 -16%","准心范围 +10%, 伤害 -20%",
Part_PS_COV_Accessory_04,"伤害 +5%, 近战伤害 +80%",,
Part_PS_COV_Grip_01,"横向后坐力幅度 -30%, 射速 +5%",,
Part_PS_COV_Grip_02,"准心范围扩散 -20%, 暴击伤害 +10%",,
Part_PS_COV_Grip_03,"准心范围 -12%, 每击增加热量 -15%",伤害 -5%,
Part_PS_COV_Material_01_常见,皮肤,,
Part_PS_COV_Material_02_普通,皮肤,,
Part_PS_COV_Material_03_罕见,皮肤,,
Part_PS_COV_Material_04_非常罕见,皮肤,,
Part_PS_COV_Material_极端悬停查德,皮肤,,
Part_PS_COV_Material_瘟疫,皮肤,,
Part_PS_COV_Material_群,皮肤,,
Part_PS_COV_Material_甜言蜜语,皮肤,,
Part_PS_COV_Material_狂人刺客,皮肤,,
Part_PS_COV_Material_司凯希斯,皮肤,,
Part_PS_COV_Scope_01,机瞄,,
Part_PS_COV_Scope_02,"机瞄 2, 1.8x",,
Part_PS_COV_Scope_03,"Small scope, 2.5x",,
Part_PS_COV_Scope_04,"Scope, 5.3x",,
Part_PS_COV_Ele_Corr,Converts Damage to 腐蚀,,
Part_PS_COV_Ele_Cryo,Converts Damage to 冰冻,,
Part_PS_COV_Ele_Fire,Converts Damage to 燃烧,,
Part_PS_COV_Ele_Radiation,Converts Damage to 辐射,,
Part_PS_COV_Ele_Shock,Converts Damage to 电击,,
Part_PS_COV_Stock_01,武器晃动 -30%,,
Part_PS_COV_Stock_02,"纵向后坐力 -15%, 每次射击射弹数 +1","准心范围 +10%, 伤害 -20%, 准心范围扩散 +20%",
Part_Dal_PS_Acc_01,"装弹时间 -10%, 暴击伤害 +10%",,
Part_Dal_PS_Acc_02,"伤害 +10%, 近战伤害 +40%",,
Part_Dal_PS_Acc_03,"武器晃动 -30%, 准心范围 -10%",,
Part_Dal_PS_Acc_04,射速 +10%,,
Part_Dal_PS_Acc_05,"横向后坐力幅度 -25%, 准心范围扩散 -25%",,
Part_Dal_PS_Barrel_01_A,准心范围 -15%,,
Part_Dal_PS_Barrel_01_B,准心范围 -15%,,
Part_Dal_PS_Barrel_01_C,纵向后坐力 -25%,,
Part_Dal_PS_Barrel_02_A,伤害 +10%,,
Part_Dal_PS_Barrel_02_B,伤害 +10%,,
Part_Dal_PS_Barrel_02_C,暴击伤害 +10%,,
Part_Dal_PS_Barrel_03_A,射速 +10%,,
Part_Dal_PS_Barrel_03_B,准心范围扩散 -25%,,
Part_Dal_PS_Barrel_03_C,射速 +10%,,
Part_Dal_PS_Barrel_ETech,"子弹容量 +20%, 近战伤害 +60%",,
Part_Dal_PS_Barrel_ETech_A,"子弹速度 +30%, 装弹时间 -10%, 近战伤害 +60%",,
Part_Dal_PS_Barrel_猛毒大黄蜂,"溅射伤害范围 +85, 装弹时间 -5%, 元素触发几率 +15%, 伤害 +150%",准心范围 +10%,
Part_Dal_PS_Barrel_涅墨西斯,"准心范围扩散 -30%, 伤害 +120%",,
Part_Dal_PS_Barrel_万用装载器,,准心范围 -45%,
Part_Dal_PS_Barrel_夜间飞行者,伤害 +35%,,
Part_Dal_PS_Body,不可移除,,
Part_Dal_PS_FiringMode_Burst_Single,3 Shot Burst or Semi-Auto,,
Part_Dal_PS_Grip_01,"纵向后坐力 -15%, 准心范围扩散 -20%",,
Part_Dal_PS_Grip_02,"武器晃动 -30%, 射速 +5%",,
Part_Dal_PS_Grip_03,"装弹时间 -5%, 伤害 +5%",,
Part_Dal_PS_Mag_01,12 弹匣,伤害 +10%,
Part_Dal_PS_Mag_02,18 弹匣,,
Part_Dal_PS_Mag_03,24 弹匣,伤害 -10%,
Part_Dal_PS_Mag_AAA,9 弹匣,,
Part_Dal_PS_Mat_01_常见,皮肤,,
Part_Dal_PS_Mat_02_普通,皮肤,,
Part_Dal_PS_Mat_03_罕见,皮肤,,
Part_Dal_PS_Mat_04_非常罕见,皮肤,,
Part_Dal_PS_Mat_AAA,皮肤,,
Part_Dal_PS_Mat_猛毒大黄蜂,皮肤,,
Part_Dal_PS_Mat_涅墨西斯,皮肤,,
Part_Dal_PS_Mat_万用装载器,皮肤,,
Part_Dal_PS_Mat_夜间飞行者,皮肤,,
Part_Dal_PS_Scope_01,"2.2x, 4x",,
Part_Dal_PS_Scope_02,"1.0x, 1x",,
Part_Dal_PS_Stock_01,"武器晃动 -30%, 准心范围 -20%",,
Part_Dal_PS_Stock_02,"准心范围扩散 -20%, 子弹容量 +10%","伤害 -5%, 准心范围 +10%",
Part_PS_JAK_Barrel_01_A,伤害 +10%,,
Part_PS_JAK_Barrel_01_B,暴击伤害 +10%,,
Part_PS_JAK_Barrel_01_C,"纵向后坐力 -25%, 近战伤害 +60%",,
Part_PS_JAK_Barrel_01_D,伤害 +10%,,
Part_PS_JAK_Barrel_02_A,准心范围 -15%,,
Part_PS_JAK_Barrel_02_B,伤害 +10%,,
Part_PS_JAK_Barrel_02_C,"装弹时间 -10%, 近战伤害 +40%",,
Part_PS_JAK_Barrel_03_A,准心范围 -15%,,
Part_PS_JAK_Barrel_03_B,武器晃动 -20%,,
Part_PS_JAK_Barrel_03_C,准心范围 -15%,,
Part_PS_JAK_Barrel_03_D,装弹时间 -10%,,
Part_PS_JAK_Barrel_奇异恩典,"横向后坐力幅度 -60%, 纵向后坐力 -25%, 伤害 +160%",,
Part_PS_JAK_Barrel_肛门塞,近战伤害 +50%,"伤害 -90%, 准心范围 +110%",
Part_PS_JAK_Barrel_洪水,"子弹容量 +3, 伤害 +50%",准心范围 +200%,
Part_PS_JAK_Barrel_双王的召唤,"伤害 +150%, 准心范围 -50%, 元素触发几率 +100%","纵向后坐力 +50%, 装弹时间 +20%",
Part_PS_JAK_Barrel_JabberWeaponBase,伤害 +40%,,
Part_PS_JAK_Barrel_玛吉,子弹容量 +4,"准心范围 -250%, 伤害 -38%",
Part_PS_JAK_Barrel_同伴,"子弹容量 +10, 伤害 +100%","准心范围 -35%, 元素触发几率 -100%",
Part_PS_JAK_Barrel_SpyRevolver,"纵向后坐力 -50%, 子弹容量 +8",伤害 -30%,
Part_PS_JAK_Barrel_毁灭公爵,"溅射伤害范围 +100, 伤害 +20%",,
Part_PS_JAK_Barrel_不可饶恕,暴击伤害 +300%,"伤害 -40%, 准心范围扩散 +200%",
Part_PS_JAK_Barrel_货车轮l,"纵向后坐力 -50%, 伤害 +30%",准心范围扩散 +200%,
Part_PS_JAK_Body,不可移除,,
Part_PS_JAK_Body_A,伤害 +10%,,
Part_PS_JAK_Body_B,装弹时间 -10%,,
Part_PS_JAK_Body_C,伤害 +10%,,
Part_PS_JAK_Grip_01,"装弹时间 -5%, 暴击伤害 +10%",,
Part_PS_JAK_Grip_02,"横向后坐力幅度 -15%, 伤害 +5%",,
Part_PS_JAK_Grip_03,"武器晃动 -30%, 准心范围 -20%",,
Part_PS_JAK_Grip_04,每次射击射弹数 +4,"伤害 -68.5%, 准心范围 +87%, 纵向后坐力 +40%, 准心范围扩散 +25%",
